movie_id,title,release_date,genre_ids,popularity,vote_avg,vote_count,genre_id,genre
324538,"Damascus Cover",2018-07-20,9648,5.006,5.6,26,9648,Mystery
324857,"Spider-Man: Into the Spider-Verse",2018-12-14,28,41.288,8.4,5777,28,Action
324916,"The Last Pope?",2018-08-12,99,0.724,0,0,99,Documentary
326382,Zama,2017-09-30,18,5.206,6.7,60,18,Drama
328216,"Be My Cat: A Film for Anne",2016-04-15,27,2.31,7,15,27,Horror
330354,Tomorrow,2018-10-19,18,2.269,0,0,18,Drama
331986,"The Public",2019-04-05,18,7.732,6.5,21,18,Drama
332283,"Mary Shelley",2018-05-25,18,10.619,7.1,501,18,Drama
332562,"A Star Is Born",2018-10-05,18,61.423,7.5,6916,18,Drama
332718,"Bilal: A New Breed of Hero",2018-02-02,28,6.681,6.9,60,28,Action
333339,"Ready Player One",2018-03-29,12,25.921,7.6,8023,12,Adventure
333357,Stephanie,2017-04-27,27,8.31,5.7,101,27,Horror
333676,"Alex & the List",2018-05-04,10749,4.409,5.7,25,10749,Romance
334546,"In Searching",2018-12-04,12,0.6,0,0,12,Adventure
334933,"A Perfect 14",2018-01-04,99,1.576,0,0,99,Documentary
335788,Renegades,2018-12-21,53,9.331,5.7,183,53,Thriller
335983,Venom,2018-10-05,28,37.059,6.6,7531,28,Action
335984,"Blade Runner 2049",2017-10-06,18,43.686,7.4,7397,18,Drama
336843,"Maze Runner: The Death Cure",2018-01-26,28,21.704,7,4308,28,Action
337167,"Fifty Shades Freed",2018-02-09,18,20.455,6.2,3816,18,Drama
337170,"American Made",2017-09-29,28,15.42,6.8,2424,28,Action
337426,"Another Time",2018-04-24,35,5.729,6,11,35,Comedy
338598,"Slay Belles",2018-12-04,12,2.915,5.3,2,12,Adventure
338768,"Please Stand By",2018-01-26,35,8.523,6.9,211,35,Comedy
338952,"Fantastic Beasts: The Crimes of Grindelwald",2018-11-16,12,27.632,6.9,5778,12,Adventure
338970,"Tomb Raider",2018-03-16,28,19.857,6.3,4809,28,Action
339103,Gotti,2018-06-15,80,12.926,5.2,316,80,Crime
339223,"Crossing Streets",2015-05-27,35,0.899,0,0,35,Comedy
339316,"Raw 3: The Revelation of Grete Müller",2018-07-06,27,0.6,6.5,1,27,Horror
339380,"On the Basis of Sex",2018-12-25,18,14.122,7.4,364,18,Drama
339669,"Blinky Bill the Movie",2018-12-31,16,4.141,5.6,22,16,Animation
339877,"Loving Vincent",2017-09-22,16,15.266,8.2,1380,16,Animation
340022,Gringo,2018-03-09,28,13.37,5.9,389,28,Action
340268,"State Like Sleep",2019-01-04,18,5.873,5,12,18,Drama
340601,Delirium,2018-05-22,27,8.645,5.5,112,27,Horror
340613,"The Wife",2018-08-17,18,13.7,7.2,568,18,Drama
340674,"Dark Crimes",2018-05-18,80,11.957,4.5,178,80,Crime
341689,"How to Talk to Girls at Parties",2018-05-25,35,10.005,6.3,181,35,Comedy
341735,"The Seagull",2018-05-11,35,7.423,5.8,35,35,Comedy
342091,"What She Said: The Art of Pauline Kael",2018-08-31,99,1.707,0,2,99,Documentary
344276,Inhumane,2018-02-16,53,4.411,4.5,10,53,Thriller
345317,"Final Portrait",2018-03-23,35,8.286,6.1,85,35,Comedy
345887,"The Equalizer 2",2018-07-20,53,22.583,6.5,2416,53,Thriller
345921,Headgame,2018-02-20,27,5.824,4.6,22,27,Horror
345923,"All I See Is You",2017-10-27,9648,9.084,5,367,9648,Mystery
345934,"Air Strike",2018-10-26,28,8.643,3.9,63,28,Action
345935,"Half Magic",2018-02-23,35,3.81,5.7,18,35,Comedy
345940,"The Meg",2018-08-10,28,28.77,5.9,3401,28,Action
346026,"Angel On The Clock",2018-06-11,16,1.4,9,2,16,Animation
346364,It,2017-09-08,27,22.786,7.2,12309,27,Horror
346588,"Loss Prevention",2018-11-06,28,1.923,6,2,28,Action
346648,"Paddington 2",2018-01-12,12,18.186,7.5,1010,12,Adventure
346910,"The Predator",2018-09-14,28,23.076,5.3,2377,28,Action
347009,"The Insomnia Club",2018-06-15,35,1.093,6.6,6,35,Comedy
347030,Native,2018-06-11,878,2.4,6.2,11,878,"Science Fiction"
347111,"Scorched Earth",2018-02-02,28,9.576,5.4,49,28,Action
347375,"Mile 22",2018-08-17,28,17.537,6,1119,28,Action
347392,Slice,2018-09-10,35,5.321,4.3,41,35,Comedy
347866,"Hot Summer Nights",2017-03-14,18,8.991,6.6,187,18,Drama
348350,"Solo: A Star Wars Story",2018-05-25,28,36.284,6.6,4470,28,Action
348389,Stratton,2018-01-05,28,10.133,5,125,28,Action
350083,"The Nobodies",2018-10-06,27,0.713,7,2,27,Horror
350916,Spidarlings,2017-07-01,53,1.612,9.5,3,53,Thriller
351044,"Welcome to Marwen",2018-12-21,35,14.247,6.5,493,35,Comedy
351286,"Jurassic World: Fallen Kingdom",2018-06-22,28,30.743,6.5,6636,28,Action
352421,?????5?????,2018-12-31,16,0.6,0,0,16,Animation
352548,"5th Passenger",2018-05-30,878,4.784,4.9,18,878,"Science Fiction"
353081,"Mission: Impossible - Fallout",2018-07-27,28,31.377,7.3,4373,28,Action
353486,"Jumanji: Welcome to the Jungle",2017-12-20,28,26.351,6.7,7988,28,Action
353576,"The Con Is On",2018-05-04,35,10.979,4.3,69,35,Comedy
353616,"Pitch Perfect 3",2017-12-22,35,13.504,6.5,2089,35,Comedy
354083,"Sharon 1.2.3.",2018-09-21,10749,4.82,4.9,8,10749,Romance
354279,Charming,2018-04-20,16,10.436,6.3,81,16,Animation
354664,"Point B",2015-08-14,35,0.6,6.5,1,35,Comedy
354861,"Father Figures",2017-12-22,35,14.069,5.8,322,35,Comedy
354912,Coco,2017-11-22,12,36.988,8.2,9851,12,Adventure
355131,"Sense8: Creating the World",2018-06-08,99,2.218,8.1,14,99,Documentary
355536,"Director's Cut",2018-05-10,35,2.313,6.5,4,35,Comedy
356199,"Amazing Grace",2018-11-12,99,7.661,7.6,17,99,Documentary
358395,"Origin Story",2018-05-03,99,1.583,6,1,99,Documentary
358632,"Typhoon Noruda",2018-01-23,878,3.052,5.9,14,878,"Science Fiction"
359226,"Her Name Was Torment III: The Highest Choir",2018-02-02,0,0.615,0,0,0,
359940,"Three Billboards Outside Ebbing, Missouri",2017-11-10,80,19.013,8.2,5967,80,Crime
359968,"American Dream/American Knightmare",2018-12-21,99,3.62,7.5,4,99,Documentary
360920,"The Grinch",2018-11-09,16,33.597,6.5,1323,16,Animation
361292,Suspiria,2018-10-26,14,20.338,6.9,1033,14,Fantasy
361787,"Neurotic Quest for Serenity",2018-03-11,35,4.197,5.4,52,35,Comedy
362009,"Apocalypse Mambo",2018-08-11,0,0.6,0,0,0,
362676,"The Big Take",2018-09-04,53,4.811,4.6,7,53,Thriller
362826,Wildling,2018-04-13,18,9.867,5.6,158,18,Drama
363088,"Ant-Man and the Wasp",2018-07-06,28,30.011,7,7337,28,Action
364220,"The Keeping Hours",2017-06-15,18,6.413,6.8,56,18,Drama
364379,"Cat Sick Blues",2018-01-17,27,2.393,6.5,32,27,Horror
364689,Ferdinand,2017-12-15,16,17.517,7.1,1570,16,Animation
365240,Cruise,2018-09-28,10749,6.412,6.2,40,10749,Romance
365257,"Black Hog Gut",2018-05-10,18,1.49,0,0,18,Drama
365651,"Minutes to Midnight",2018-07-03,28,5.088,3.8,7,28,Action
365995,Inside,2018-01-12,27,5.708,4.8,94,27,Horror
366854,"Trailer Made",2018-06-22,10751,0.84,2,1,10751,Family
366964,Mohawk,2018-03-02,28,4.488,5.3,28,28,Action
367153,"Poor Boy",2018-07-13,18,2.668,5,3,18,Drama
369192,"Battle of the Sexes",2017-09-22,35,12.706,6.9,1130,35,Comedy
369403,"Happy Birthday, Marsha!",2018-03-10,18,0.6,0,0,18,Drama
369523,"The Tale",2018-01-20,18,12.327,7.3,204,18,Drama
369972,"First Man",2018-10-12,18,21.741,7.1,2869,18,Drama
370187,"Frat Pack",2018-06-19,35,6.508,5.5,6,35,Comedy
370567,"Sherlock Gnomes",2018-03-23,16,15.878,5.5,395,16,Animation
370756,"Always at The Carlyle",2018-05-11,99,3.241,7,3,99,Documentary
370992,Shivaay,2018-01-02,28,2.266,5.7,33,28,Action
371003,"Kill Game",2018-01-19,27,5.62,5.5,16,27,Horror
371042,Snowflake,2017-11-05,28,2.339,7,19,28,Action
371265,"The Storyteller",2018-09-21,18,0.948,8.5,2,18,Drama
371608,"The Strangers: Prey at Night",2018-03-09,27,15.817,5.4,738,27,Horror
371638,"The Disaster Artist",2017-12-01,35,16.022,7.2,2116,35,Comedy
371744,"Taco Shop",2018-05-01,35,2.156,4.7,3,35,Comedy
372782,Manhunt,2018-05-04,28,4.992,5.5,47,28,Action
373209,"Izzy Gets the F*ck Across Town",2018-06-22,35,4.381,6.1,24,35,Comedy
373449,2.0,2018-11-29,28,6.003,6.1,49,28,Action
373475,"H.O.P.E.: What You Eat Matters",2018-05-01,99,0.6,8,4,99,Documentary
375107,"Duck Duck Goose",2018-07-20,16,10.149,6.2,84,16,Animation
375262,"The Favourite",2018-11-23,18,24.44,7.6,2657,18,Drama
375327,Submergence,2018-04-13,18,15.41,5.3,132,18,Drama
375588,"Robin Hood",2018-11-21,28,28.492,5.8,1585,28,Action
375785,"Then Came You",2019-02-01,12,8.161,7.3,145,12,Adventure
375860,"The Surrounding Game",2018-02-15,99,2.203,8.4,5,99,Documentary
376580,"In Critical Condition",2018-12-10,53,0.6,9,1,53,Thriller
376658,"Love Beats Rhymes",2017-12-01,10402,5.442,5.7,62,10402,Music
377281,Amateurs,2018-04-21,35,4.36,5.3,5,35,Comedy
377319,"Derren Brown: Pushed to the Edge",2018-02-27,99,5.782,7.5,44,99,Documentary
378160,Abruptio,2018-05-31,27,1.202,1,1,27,Horror
378631,"Like Me",2018-01-25,80,2.408,5.9,21,80,Crime
379149,"The Foreigner",2017-10-13,28,16.492,6.7,1208,28,Action
380111,"Flight Crew",2018-06-25,28,7.718,6.9,116,28,Action
381231,"The Last One",2018-10-01,14,0.66,0,1,14,Fantasy
381237,"Office Uprising",2018-06-19,28,11.858,5.3,86,28,Action
381719,"Peter Rabbit",2018-02-09,12,13.801,6.5,741,12,Adventure
382475,"The Pass",2016-10-20,18,7.413,6.8,65,18,Drama
383498,"Deadpool 2",2018-05-10,28,37.399,7.5,9966,28,Action
383585,"The Yellow Birds",2017-01-21,18,7.844,6.3,56,18,Drama
384521,"The Cloverfield Paradox",2018-02-04,27,14.822,5.6,1876,27,Horror
384677,"Set It Up",2018-06-12,35,11.955,7,1651,35,Comedy
384680,Hostiles,2017-12-22,18,12.169,6.8,1169,18,Drama
385332,Terminal,2018-05-11,80,13.061,5.7,386,80,Crime
385360,"Billionaire Boys Club",2018-08-03,18,9.408,5.5,173,18,Drama
385448,"The Little Mermaid",2018-08-17,12,15.077,4.9,561,12,Adventure
385955,"Where Is Kyra?",2018-04-06,18,5.163,5.8,25,18,Drama
386687,"Josephine Doe",2018-03-06,18,2.395,4,3,18,Drama
386828,"Mr. Invincible",2018-06-01,35,2.436,0,0,35,Comedy
387592,"Early Man",2018-02-16,12,11.304,6,378,12,Adventure
387773,"Little Bitches",2018-01-23,35,9.612,5.9,27,35,Comedy
387827,"Time Share",2018-01-20,18,4.152,5.6,26,18,Drama
389015,"I, Tonya",2017-12-08,18,15.38,7.5,3227,18,Drama
390059,Permission,2018-02-09,35,10.401,5,74,35,Comedy
390874,"Ashes in the Snow",2019-01-11,18,8.079,7,43,18,Drama
391710,"A Futile and Stupid Gesture",2018-01-24,35,10.483,6.6,162,35,Comedy
391713,"Lady Bird",2017-11-03,35,13.679,7.3,4280,35,Comedy
391714,"On Chesil Beach",2018-05-18,18,6.988,6.1,122,18,Drama
391872,"Child of Satan",2018-03-06,28,3.017,1.7,11,28,Action
391912,Rosy,2018-07-17,35,5.563,5.6,16,35,Comedy
392044,"Murder on the Orient Express",2017-11-10,80,18.48,6.7,5892,80,Crime
392407,"A Place in Hell",2018-04-03,27,3.382,5.4,5,27,Horror
392524,Axis,2017-04-07,18,0.735,8,2,18,Drama
392541,"Henchman: The Al Leong Story",2018-12-15,99,0.675,0,0,99,Documentary
392982,Marshall,2017-10-13,18,12.054,7.4,286,18,Drama
393425,Intersection,2018-06-15,80,1.54,0,1,80,Crime
393834,Goldstone,2018-03-02,80,6.564,6,50,80,Crime
394741,"Stan & Ollie",2018-12-28,35,13.704,7.1,433,35,Comedy
395458,Suburbicon,2017-10-27,80,11.014,5.8,946,80,Crime
395841,"Hold the Dark",2018-09-22,80,11.353,5.2,495,80,Crime
395948,"Are We Not Cats",2018-02-23,27,1.255,6.5,7,27,Horror
395990,"Death Wish",2018-03-02,28,21.151,5.9,1364,28,Action
396321,"Puppet Master: The Littlest Reich",2018-08-17,35,9.015,5.7,57,35,Comedy
396371,"Molly's Game",2017-12-25,80,18.564,7.1,1918,80,Crime
396373,"Woman Walks Ahead",2018-04-25,18,7.155,6.9,64,18,Drama
396461,"Under the Silver Lake",2019-04-19,18,11.928,6.4,473,18,Drama
396622,Andover,2018-05-04,35,3.917,5.8,19,35,Comedy
396806,Anon,2018-05-04,878,15.719,5.8,789,878,"Science Fiction"
397408,Juveniles,2018-03-24,18,1.502,10,1,18,Drama
397538,"Borg vs McEnroe",2017-10-24,18,9.372,7,630,18,Drama
397722,Thoroughbreds,2018-03-09,18,10.608,6.3,459,18,Drama
397827,"No Light and No Land Anywhere",2018-03-16,18,1.497,5,1,18,Drama
397852,Rendel,2018-01-30,28,6.937,4.7,69,28,Action
398173,"The House That Jack Built",2018-11-28,18,14.758,7.2,1006,18,Drama
398177,"Just Getting Started",2017-12-08,28,9.778,5,104,28,Action
398181,"You Were Never Really Here",2018-04-06,53,15.546,6.6,1242,53,Thriller
398818,"Call Me by Your Name",2017-11-24,10749,20.96,8.3,5630,10749,Romance
398980,"Too Cold to Swim",2018-01-31,18,1.451,0,0,18,Drama
399035,"The Commuter",2018-01-12,28,23.091,6.2,2621,28,Action
399055,"The Shape of Water",2017-12-01,18,23.528,7.2,7857,18,Drama
399131,Dude,2018-04-20,35,11.158,5.6,548,35,Comedy
399174,"Isle of Dogs",2018-03-23,12,16.813,7.9,2343,12,Adventure
399248,Beirut,2018-04-11,28,12.418,6.2,238,28,Action
399360,Alpha,2018-08-17,12,15.581,6,1339,12,Adventure
399366,Marrowbone,2018-04-13,18,13.544,7.1,580,18,Drama
399402,"Hunter Killer",2018-10-26,28,23.867,6.4,860,28,Action
399404,"Darkest Hour",2017-11-22,18,18.135,7.3,2963,18,Drama
399440,Peterloo,2019-04-05,18,4.176,7.4,45,18,Drama
399725,"Ideal Home",2018-06-29,35,9.575,6.5,85,35,Comedy
399794,Sebring,2018-01-01,99,0.65,0,0,99,Documentary
399796,"Life of the Party",2018-05-11,35,11.709,6.2,528,35,Comedy
400028,"The Big Frozen Gumshoe",2018-10-23,35,1.533,0,1,35,Comedy
400155,"Hotel Transylvania 3: Summer Vacation",2018-06-30,16,20.283,6.8,1940,16,Animation
400535,"Sicario: Day of the Soldado",2018-06-29,28,20.889,6.7,1556,28,Action
400579,Tully,2018-05-04,35,13.118,6.9,732,35,Comedy
400593,"Hotel Coolgardie",2018-01-07,35,1.559,9,3,35,Comedy
400617,"Phantom Thread",2017-12-25,18,13.586,7.3,1793,18,Drama
400650,"Mary Poppins Returns",2018-12-19,35,22.678,6.6,1867,35,Comedy
401272,"Ruin Me",2018-07-24,27,3.769,5.3,24,27,Horror
401371,Mute,2018-02-23,9648,13.63,5.6,583,9648,Mystery
401469,Widows,2018-11-16,80,19.914,6.5,1211,80,Crime
401478,"Death Race: Beyond Anarchy",2018-10-02,28,17.168,5.7,95,28,Action
401561,"Mom and Dad",2018-01-19,35,11.848,5.2,432,35,Comedy
401732,Delirium,2018-01-19,27,5.464,4.2,20,27,Horror
401847,"Can You Ever Forgive Me?",2018-10-19,35,14.64,6.8,635,35,Comedy
401898,Thelma,2017-11-10,18,13.465,7.1,402,18,Drama
401905,"Fahrenheit 451",2018-06-18,18,13.527,5.4,417,18,Drama
401981,"Red Sparrow",2018-03-02,9648,25.536,6.5,3766,9648,Mystery
402434,"South of 8",2017-02-11,28,1.386,0,1,28,Action
402450,Hatred,2015-11-15,27,0.883,0,0,27,Horror
402456,"The Phantom Hour",2017-02-17,35,0.6,0,0,35,Comedy
402897,"The Death of Stalin",2018-03-09,35,11.449,7,827,35,Comedy
402900,"Ocean's Eight",2018-06-08,28,21.236,6.9,4330,28,Action
403068,"Sun Dogs",2017-06-18,35,4.631,6.9,41,35,Comedy
404292,"A Hole in the Ground",2018-09-01,27,1.616,5.5,3,27,Horror
404368,"Ralph Breaks the Internet",2018-11-21,12,32.646,7.2,3475,12,Adventure
404782,"Altered Perception",2018-05-04,878,1.357,6.5,3,878,"Science Fiction"
405774,"Bird Box",2018-11-12,18,21.337,6.9,5606,18,Drama
406486,"Boy Howdy! The Story of CREEM Magazine",2018-10-01,99,0.6,5,1,99,Documentary
406563,"Insidious: The Last Key",2018-01-05,27,20.724,6.1,1468,27,Horror
406761,"Hotel Artemis",2018-06-08,28,16.332,5.9,653,28,Action
406997,Wonder,2017-11-17,18,15.712,8.2,4386,18,Drama
407436,"Mowgli: Legend of the Jungle",2018-11-29,12,15.471,6.6,1574,12,Adventure
407445,Breathe,2017-10-13,18,10.681,7.5,359,18,Drama
407451,"A Wrinkle in Time",2018-03-09,12,12.243,5,1179,12,Adventure
407506,"The Roma Project",2015-05-13,878,0.938,10,1,878,"Science Fiction"
407719,"Golden Exits",2018-02-09,18,3.613,6.3,26,18,Drama
407720,"Billy Boy",2018-06-15,80,2.606,5.8,9,80,Crime
407890,"Lean on Pete",2018-04-06,12,8.96,6.9,153,12,Adventure
408107,"Surge of Power: Revenge of the Sequel",2018-01-19,28,0.6,0,0,28,Action
408278,Deceived,2018-10-06,53,0.853,0,0,53,Thriller
408355,"Throne of Elves",2018-10-11,14,3.742,8.2,23,14,Fantasy
408490,"It Came from the Desert",2018-05-29,28,4.247,5.2,32,28,Action
408873,Kings,2018-04-27,80,6.738,6.1,72,80,Crime
409056,"Along Came the Devil",2018-08-10,18,5.725,4.9,19,18,Drama
409582,"Guardians of the Tomb",2018-02-23,28,8.714,5.2,93,28,Action
410516,"The Concessionaires Must Die!",2018-01-08,35,0.6,0,0,35,Comedy
411135,"Future World",2018-05-25,878,10.987,4.2,109,878,"Science Fiction"
411139,"I'm Not Here",2019-03-08,18,4.493,6.5,14,18,Drama
411141,"The Scent of Rain & Lightning",2018-02-16,37,5.146,5.4,19,37,Western
411143,Tau,2018-06-29,878,12.858,6.2,676,878,"Science Fiction"
411144,"We Have Always Lived in the Castle",2019-05-17,18,7.686,5.3,64,18,Drama
411191,"Animals Under Anaesthesia: Speculations on the Dreamlife of Beasts",2018-05-13,99,0.6,0,0,99,Documentary
411668,"Rich Kids",2018-04-06,18,2.301,0,0,18,Drama
411996,"Measure of a Man",2018-05-11,35,4.514,5.7,19,35,Comedy
412000,"Small Town Crime",2018-01-19,80,7.111,6.6,115,80,Crime
412003,"Modern Life Is Rubbish",2018-04-27,10402,5.431,7,22,10402,Music
412059,"Mobile Homes",2018-11-16,18,4.066,6.7,11,18,Drama
412061,"Age Out",2019-11-22,80,7.082,9.5,1,80,Crime
412120,"Her Love Boils Bathwater",2018-01-06,18,1.726,6.7,17,18,Drama
412302,Gemini,2018-03-30,80,6.03,5.6,72,80,Crime
412546,Antrum,2018-10-14,27,5.122,5,4,27,Horror
412764,"Soft Matter",2018-06-08,878,2.112,8.5,2,878,"Science Fiction"
412904,"Created Equal",2017-04-29,18,2.737,6.7,6,18,Drama
412988,"The Happytime Murders",2018-08-24,28,12.145,5.6,507,28,Action
413138,"The Lucky Man",2018-01-16,28,2.843,6,5,28,Action
413165,"Jewel's Catch One",2018-05-02,99,1.375,7.3,3,99,Documentary
413362,"Roman J. Israel, Esq.",2017-11-17,18,13.38,6.2,560,18,Drama
413576,1/1,2018-07-17,18,4.204,6.3,5,18,Drama
413852,"Welcome the Stranger",2018-03-20,18,3.613,5.3,25,18,Drama
414001,"The Mercy",2018-11-30,12,9.82,5.9,133,12,Adventure
414018,Damsel,2018-06-22,35,5.163,5,35,35,Comedy
414063,"Racer and the Jailbird",2017-10-21,80,5.405,6.2,93,80,Crime
414187,Josie,2018-03-16,18,6.511,5.3,31,18,Drama
414191,"Our House",2018-07-27,18,7.179,5.2,130,18,Drama
414454,Submission,2018-03-02,18,3.52,6.5,13,18,Drama
415010,Ravenous,2017-09-23,18,7.251,5.5,144,18,Drama
415085,"All Creatures Here Below",2019-05-17,18,4.901,6.3,6,18,Drama
415311,"The Neighbor",2018-01-26,18,7.01,4.8,40,18,Drama
415312,"The Man from Earth: Holocene",2017-06-10,18,6.834,6,62,18,Drama
415401,"The Party",2018-02-16,35,10.672,6.4,247,35,Comedy
416160,"The Vault",2017-09-01,27,8.242,4.8,214,27,Horror
416163,"Mississippi Requiem",2018-05-17,0,2.076,0,2,0,
416186,"Godard Mon Amour",2018-04-20,35,6.826,6.8,180,35,Comedy
416194,"The Quake",2018-12-14,28,14.835,6.5,144,28,Action
416217,"Grindhouse Nightmares",2018-02-13,28,1.817,1,1,28,Action
416234,Winchester,2018-02-02,14,13.173,5.8,980,14,Fantasy
416369,Breadcrumbs,2018-08-14,18,1.179,6,2,18,Drama
416494,"Status Update",2018-02-09,35,7.179,6.8,152,35,Comedy
